time_sec,target_rpm,rl_rpm,rr_rpm,fr_rpm,rl_pwm,rr_pwm,fr_pwm,fl_pwm
1773033321.484,100,0.0,0.0,0.0,43.0,43.0,43.0,43.0
1773033321.535,100,0.0,0.0,0.0,43.4,43.4,43.4,43.4
1773033321.586,100,0.0,0.0,0.0,43.8,43.8,43.8,43.8
1773033321.637,100,0.0,0.0,0.0,44.2,44.2,44.2,44.2
1773033321.689,100,0.0,0.0,0.0,44.6,44.6,44.6,44.6
1773033321.741,100,0.0,0.0,0.0,45.0,45.0,45.0,45.0
1773033321.792,100,0.0,0.0,0.0,45.4,45.4,45.4,45.4
1773033321.843,100,0.0,0.0,0.0,45.8,45.8,45.8,45.8
1773033321.894,100,0.0,0.0,0.0,46.2,46.2,46.2,46.2
1773033321.945,100,0.0,0.0,0.0,46.6,46.6,46.6,46.6
1773033321.997,100,0.0,0.0,0.0,47.0,47.0,47.0,47.0
1773033322.048,100,0.0,0.0,0.0,47.4,47.4,47.4,47.4
1773033322.100,100,0.0,0.0,0.0,47.8,47.8,47.8,47.8
1773033322.151,100,0.0,0.0,0.0,48.2,48.2,48.2,48.2
1773033322.203,100,0.0,0.0,0.0,48.6,48.6,48.6,48.6
1773033322.254,100,0.0,0.0,0.0,49.0,49.0,49.0,49.0
1773033322.305,100,0.0,0.0,0.0,49.4,49.4,49.4,49.4
1773033322.356,100,0.0,0.0,0.0,49.8,49.8,49.8,49.8
1773033322.407,100,0.0,0.0,0.0,50.2,50.2,50.2,50.2
1773033322.459,100,0.0,0.0,0.0,50.6,50.6,50.6,50.6
1773033322.511,100,0.0,0.0,0.0,51.0,51.0,51.0,51.0
1773033322.562,100,0.0,0.0,0.0,51.4,51.4,51.4,51.4
1773033322.613,100,0.0,0.0,0.0,51.8,51.8,51.8,51.8
1773033322.665,100,0.0,0.0,0.0,52.2,52.2,52.2,52.2
1773033322.716,100,0.0,0.0,0.0,52.6,52.6,52.6,52.6
1773033322.767,100,0.0,0.0,0.0,53.0,53.0,53.0,53.0
1773033322.818,100,0.0,0.0,0.0,53.4,53.4,53.4,53.4
1773033322.869,100,0.0,0.0,0.0,53.8,53.8,53.8,53.8
