timestamp,pico_timestamp_ms,frame,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,raw_field_norm,accel_norm
1774623336.399649,9958465,88598,-0.109300000,0.125700000,0.211000000,0.091000000,0.011000000,-0.898000000,3.970000000,0.060000000,0.610000000,0.268827045,0.902666051
1774623336.504401,9958571,88599,-0.090700000,0.083300000,0.251700000,0.209000000,0.006000000,-0.992000000,32.730000000,2.990000000,0.090000000,0.280211117,1.013795344
1774623336.612559,9958678,88600,-0.088300000,0.030000000,0.277000000,0.000000000,0.055000000,-0.999000000,8.820000000,0.170000000,3.470000000,0.292277077,1.000512868
1774623336.718694,9958785,88601,-0.095000000,-0.012300000,0.295000000,0.000000000,0.008000000,-0.875000000,15.820000000,1.110000000,4.250000000,0.310163328,0.875036571
1774623336.825446,9958891,88602,-0.113700000,-0.054000000,0.306000000,0.000000000,0.031000000,-0.917000000,4.190000000,1.250000000,8.190000000,0.330877152,0.917523842
1774623336.931786,9958997,88603,-0.154300000,-0.080000000,0.304300000,0.023000000,0.012000000,-0.996000000,5.980000000,2.200000000,18.080000000,0.350438268,0.996337794
1774623337.036978,9959103,88604,-0.200000000,-0.087300000,0.289000000,0.211000000,0.010000000,-1.935000000,18.420000000,1.970000000,6.080000000,0.362135734,1.946495826
1774623337.141866,9959207,88605,-0.238700000,-0.071700000,0.271700000,0.188000000,-0.046000000,-1.973000000,17.240000000,4.950000000,35.240000000,0.368699702,1.982470429
1774623337.246802,9959314,88606,-0.266700000,-0.022300000,0.238700000,0.207000000,0.062000000,-1.812000000,8.130000000,31.270000000,31.270000000,0.358613817,1.824838897
1774623337.354220,9959421,88607,-0.271700000,0.047300000,0.195300000,0.064000000,0.040000000,-0.999000000,64.490000000,5.950000000,31.610000000,0.337935304,1.001846795
1774623337.462018,9959527,88608,-0.251000000,0.114000000,0.159000000,0.000000000,0.094000000,-0.895000000,9.950000000,0.000000000,52.270000000,0.318242046,0.899922774
1774623337.567298,9959634,88609,-0.222000000,0.159000000,0.133300000,0.073000000,0.078000000,-1.811000000,9.770000000,2.500000000,46.900000000,0.303864921,1.814148285
1774623337.674255,9959740,88610,-0.180700000,0.204000000,0.102700000,0.196000000,0.031000000,-0.875000000,8.920000000,0.520000000,40.600000000,0.291231489,0.897219037
1774623337.779402,9959846,88611,-0.150300000,0.217300000,0.094000000,0.000000000,0.000000000,-0.859000000,15.640000000,0.090000000,4.920000000,0.280437836,0.859000000
1774623337.884398,9959951,88612,-0.146000000,0.224000000,0.087700000,0.445000000,0.000000000,-0.977000000,4.150000000,1.050000000,0.640000000,0.281395256,1.073570678
1774623337.991803,9960057,88613,-0.136000000,0.218300000,0.098300000,0.448000000,-0.062000000,-0.891000000,31.280000000,0.990000000,-23.450000000,0.275343022,0.999214191
1774623338.098916,9960163,88614,-0.125300000,0.195000000,0.137300000,0.454000000,0.008000000,-0.983000000,1.950000000,6.120000000,-15.570000000,0.269400037,1.082806077
1774623338.204433,9960269,88615,-0.114300000,0.153300000,0.187300000,0.022000000,0.000000000,-0.949000000,7.820000000,2.270000000,-15.390000000,0.267668956,0.949254971
1774623338.311497,9960376,88616,-0.089000000,0.102300000,0.242000000,0.164000000,0.084000000,-0.984000000,0.640000000,1.500000000,-15.320000000,0.277399153,1.001103391
1774623338.416574,9960483,88617,-0.085000000,0.037300000,0.278700000,0.157000000,0.028000000,-0.996000000,1.980000000,1.220000000,-9.680000000,0.293751562,1.008686770
1774623338.523743,9960589,88618,-0.108700000,-0.020000000,0.296700000,-0.091000000,0.127000000,-0.914000000,15.770000000,4.070000000,0.270000000,0.316617403,0.927257246
1774623338.628330,9960695,88619,-0.147000000,-0.075000000,0.302700000,0.082000000,0.018000000,-0.994000000,8.850000000,16.120000000,3.920000000,0.344762657,0.997538972
1774623338.737486,9960802,88620,-0.185700000,-0.106700000,0.295700000,0.188000000,0.004000000,-1.864000000,64.510000000,0.120000000,23.520000000,0.365113503,1.873460968
1774623338.839336,9960906,88621,-0.223700000,-0.105000000,0.275000000,0.002000000,0.000000000,-0.978000000,62.530000000,4.340000000,1.220000000,0.369718393,0.978002045
1774623338.943772,9961010,88622,-0.252700000,-0.090000000,0.257700000,0.008000000,0.001000000,-1.875000000,7.820000000,1.950000000,4.730000000,0.371976585,1.875017333
1774623339.049757,9961116,88623,-0.276700000,-0.042300000,0.238700000,0.184000000,0.008000000,-1.000000000,8.550000000,3.660000000,31.270000000,0.367872084,1.016818568
1774623339.154953,9961221,88624,-0.291700000,0.011700000,0.197700000,0.016000000,0.001000000,-0.996000000,10.500000000,7.820000000,50.400000000,0.352577750,0.996129008
1774623339.262759,9961328,88625,-0.277300000,0.079000000,0.167000000,-0.123000000,0.478000000,-0.870000000,63.270000000,17.680000000,66.950000000,0.333204577,1.000256467
1774623339.368898,9961434,88626,-0.243700000,0.149000000,0.129300000,-0.061000000,0.439000000,-0.987000000,32.320000000,8.060000000,76.790000000,0.313542948,1.081947781
1774623339.475543,9961540,88627,-0.202300000,0.191700000,0.101000000,0.198000000,0.425000000,-0.999000000,15.630000000,62.540000000,48.870000000,0.296437481,1.103553352
1774623339.579604,9961647,88628,-0.165700000,0.225000000,0.071700000,0.078000000,0.000000000,-0.891000000,11.880000000,0.470000000,48.500000000,0.288482894,0.894407625
1774623339.687078,9961751,88629,-0.135300000,0.250700000,0.040300000,0.469000000,0.000000000,-0.965000000,9.280000000,0.140000000,24.440000000,0.287716301,1.072933362
1774623339.791380,9961857,88630,-0.123700000,0.260000000,0.022300000,0.031000000,0.027000000,-0.916000000,5.500000000,0.020000000,1.980000000,0.288788816,0.916922025
1774623339.897151,9961963,88631,-0.121000000,0.257300000,0.029000000,0.031000000,0.039000000,-0.934000000,16.850000000,1.230000000,-8.310000000,0.285806386,0.935327750
1774623340.003785,9962070,88632,-0.122000000,0.236700000,0.066700000,0.016000000,0.031000000,-0.963000000,2.810000000,0.020000000,-26.850000000,0.274517358,0.963631672
1774623340.110780,9962177,88633,-0.121000000,0.215700000,0.116700000,0.438000000,0.064000000,-0.980000000,1.470000000,0.500000000,-27.190000000,0.273470986,1.075332507
1774623340.215102,9962281,88634,-0.105700000,0.180000000,0.165000000,0.446000000,0.219000000,-0.957000000,31.300000000,13.680000000,-29.280000000,0.266077977,1.078297733
1774623340.321000,9962388,88635,-0.100700000,0.135700000,0.208300000,0.079000000,0.000000000,-0.990000000,1.230000000,1.020000000,-29.780000000,0.268223545,0.993147018
1774623340.427094,9962493,88636,-0.088300000,0.078300000,0.253300000,0.173000000,0.102000000,-0.990000000,7.820000000,0.060000000,-15.630000000,0.279443501,1.010164838
1774623340.535694,9962600,88637,-0.086700000,0.018300000,0.286000000,0.003000000,0.004000000,-0.993000000,2.170000000,3.920000000,-3.620000000,0.299412391,0.993012588
1774623340.641022,9962707,88638,-0.106000000,-0.040700000,0.300300000,-0.094000000,0.125000000,-0.999000000,4.400000000,1.220000000,8.310000000,0.321049186,1.011168631
1774623340.747155,9962813,88639,-0.142700000,-0.098300000,0.307000000,0.003000000,0.048000000,-1.000000000,9.160000000,3.920000000,18.080000000,0.352526850,1.001155832
1774623340.852730,9962919,88640,-0.173300000,-0.132300000,0.302000000,0.008000000,0.070000000,-0.969000000,5.940000000,1.720000000,26.140000000,0.372478429,0.971558027
1774623340.959152,9963026,88641,-0.209000000,-0.145000000,0.290000000,0.082000000,0.000000000,-1.797000000,8.340000000,32.730000000,35.310000000,0.385753807,1.798869923
1774623341.065814,9963130,88642,-0.232700000,-0.103300000,0.277000000,0.071000000,0.031000000,-1.857000000,8.310000000,31.820000000,31.300000000,0.376230222,1.858615345
1774623341.171422,9963237,88643,-0.247000000,-0.055000000,0.256000000,0.000000000,0.007000000,-1.000000000,16.790000000,4.430000000,39.830000000,0.359958331,1.000024500
1774623341.277851,9963344,88644,-0.262700000,0.002300000,0.229000000,0.188000000,0.000000000,-0.997000000,12.000000000,2.320000000,39.090000000,0.348507647,1.014570352
1774623341.385703,9963450,88645,-0.247700000,0.068300000,0.197000000,0.072000000,0.071000000,-0.928000000,16.740000000,1.040000000,46.920000000,0.323773347,0.933492903
1774623341.489016,9963557,88646,-0.231000000,0.119000000,0.164000000,-0.062000000,0.000000000,-0.898000000,17.710000000,4.440000000,47.020000000,0.307275121,0.900137767
1774623341.596445,9963663,88647,-0.189000000,0.168300000,0.143300000,0.064000000,0.031000000,-0.930000000,9.050000000,3.910000000,33.830000000,0.290827750,0.932714855
1774623341.699711,9963767,88648,-0.163300000,0.202300000,0.112300000,0.002000000,0.089000000,-0.933000000,17.470000000,0.120000000,31.410000000,0.283202172,0.937237430
1774623341.806492,9963874,88649,-0.129300000,0.235000000,0.080300000,0.000000000,0.190000000,-0.996000000,7.830000000,0.290000000,16.130000000,0.279984964,1.013960552
