timestamp,dt_ms,laser_front_cm,sonar_rear_cm,ir_left,ir_right,accel_x,accel_y,accel_z,accel_mag,gyro_z,rpm,battery_v,current_a,vision_mode,target_name,target_found,target_bbox_area,vision_steer_pull,avoid_state,raw_throttle,raw_steering,smooth_throttle,smooth_steering,motor_L,motor_R,sweep_active,sweep_esc_angle,sweep_esc_dist,status_msg
1772262566.6920211,,999,76.6,False,False,-0.006,0.013,1.03,1.03,0.0,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262566.9497945,,999,76.6,False,False,-0.07,0.006,1.15,1.152,-0.48,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262567.2147105,,999,76.6,False,False,-0.011,0.001,1.07,1.07,-0.62,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262567.479421,,999,77.0,False,False,0.018,-0.006,0.986,0.986,-0.08,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262567.737078,,999,77.0,False,False,0.015,-0.007,0.991,0.991,-0.2,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262568.003044,,999,77.0,False,False,-0.035,-0.005,1.068,1.069,0.45,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262568.267733,,999,77.0,False,False,-0.04,-0.005,1.079,1.08,-0.08,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262568.5255256,,999,77.1,False,False,-0.063,0.004,1.144,1.146,-0.43,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262568.790287,,999,76.6,False,False,-0.016,-0.002,1.027,1.027,0.34,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262569.0550423,,999,77.0,False,False,0.024,-0.001,0.981,0.981,-0.26,0.0,12.21,5.83,,,,,,,,,,,,,,,,
1772262569.3133037,,999,77.0,False,False,0.017,0.009,0.998,0.998,-0.38,0.0,12.21,5.83,,,,,,,,,,,,,,,,
